Timestamp,ms_time,name,line,level,ADC,dist,flag
14:01.1,3771,logger,31,INFO,10951,3.3318,0
14:01.1,3771,logger,31,INFO,10988,3.3544,0
14:01.1,3772,logger,31,INFO,11169,3.4647,0
14:01.1,3772,logger,31,INFO,11308,3.5494,0
14:01.2,3830,logger,31,INFO,11349,3.5744,0
14:01.2,3831,logger,31,INFO,11524,3.6811,0
14:01.2,3831,logger,31,INFO,11669,3.7695,0
14:01.2,3831,logger,31,INFO,11847,3.878,0
14:01.2,3831,logger,31,INFO,11876,3.8956,0
14:01.2,3886,logger,31,INFO,12018,3.9822,0
14:01.2,3887,logger,31,INFO,12195,4.0901,0
14:01.2,3888,logger,31,INFO,12227,4.1096,0
14:01.2,3888,logger,31,INFO,12409,4.2205,0
14:01.2,3888,logger,31,INFO,12568,4.3174,0
14:01.3,3947,logger,31,INFO,12590,4.3309,0
14:01.3,3948,logger,31,INFO,12790,4.4528,0
14:01.3,3948,logger,31,INFO,12969,4.5619,0
14:01.3,3948,logger,31,INFO,13185,4.6935,0
14:01.3,3949,logger,31,INFO,13217,4.713,0
14:01.3,3949,logger,31,INFO,13440,4.849,0
14:01.3,4011,logger,31,INFO,13640,4.9709,0
14:01.3,4012,logger,31,INFO,13663,4.9849,0
14:01.3,4012,logger,31,INFO,13885,5.1202,1
14:01.3,4012,logger,31,INFO,14077,5.2373,1
14:01.4,4070,logger,31,INFO,14304,5.3756,1
14:01.4,4070,logger,31,INFO,14313,5.3811,1
14:01.4,4070,logger,31,INFO,14507,5.4994,1
14:01.4,4071,logger,31,INFO,14709,5.6225,1
14:01.4,4071,logger,31,INFO,14718,5.628,1
14:01.4,4072,logger,31,INFO,14916,5.7487,1
14:01.4,4072,logger,31,INFO,15103,5.8626,1
14:01.5,4148,logger,31,INFO,15107,5.8651,1
14:01.5,4148,logger,31,INFO,15292,5.9779,1
14:01.5,4148,logger,31,INFO,15474,6.0888,1
14:01.5,4149,logger,31,INFO,15660,6.2022,1
14:01.5,4196,logger,31,INFO,15661,6.2028,1
14:01.5,4197,logger,31,INFO,15852,6.3192,1
14:01.5,4199,logger,31,INFO,16026,6.4253,1
14:01.5,4199,logger,31,INFO,16033,6.4295,1
14:01.5,4199,logger,31,INFO,16217,6.5417,1
14:01.5,4199,logger,31,INFO,16394,6.6496,1
14:01.5,4200,logger,31,INFO,16395,6.6502,1
14:01.6,4253,logger,31,INFO,16590,6.7691,1
14:01.6,4254,logger,31,INFO,16761,6.8733,1
14:01.6,4254,logger,31,INFO,16942,6.9836,1
14:01.6,4254,logger,31,INFO,16954,6.9909,1
14:01.6,4255,logger,31,INFO,17132,7.0994,1
14:01.6,4315,logger,31,INFO,17290,7.1957,1
14:01.6,4315,logger,31,INFO,17301,7.2024,1
14:01.6,4316,logger,31,INFO,17475,7.3085,1
14:01.6,4316,logger,31,INFO,17617,7.3951,1
14:01.6,4316,logger,31,INFO,17791,7.5011,1
14:01.7,4393,logger,31,INFO,17810,7.5127,1
14:01.7,4394,logger,31,INFO,17966,7.6078,1
14:01.7,4394,logger,31,INFO,18153,7.7218,1
14:01.7,4395,logger,31,INFO,18183,7.7401,1
14:01.7,4395,logger,31,INFO,18380,7.8601,1
14:01.7,4395,logger,31,INFO,18550,7.9638,1
14:01.7,4396,logger,31,INFO,18581,7.9827,1
14:01.8,4466,logger,31,INFO,18787,8.1082,1
14:01.8,4467,logger,31,INFO,18967,8.2179,1
14:01.8,4467,logger,31,INFO,19185,8.3508,1
14:01.8,4467,logger,31,INFO,19227,8.3764,1
14:01.8,4468,logger,31,INFO,19447,8.5105,1
14:01.8,4469,logger,31,INFO,19624,8.6184,1
14:01.8,4469,logger,31,INFO,19664,8.6428,1
14:01.8,4522,logger,31,INFO,19884,8.7769,1
14:01.9,4523,logger,31,INFO,20055,8.8811,1
14:01.9,4523,logger,31,INFO,20266,9.0098,1
14:01.9,4524,logger,31,INFO,20314,9.039,1
14:01.9,4524,logger,31,INFO,20473,9.1359,1
14:01.9,4574,logger,31,INFO,20673,9.2578,1
14:01.9,4574,logger,31,INFO,20716,9.2841,1
14:01.9,4575,logger,31,INFO,20926,9.4121,1
14:01.9,4576,logger,31,INFO,21066,9.4974,1
14:02.0,4669,logger,31,INFO,21121,9.5309,1
14:02.0,4670,logger,31,INFO,21316,9.6498,1
14:02.0,4670,logger,31,INFO,21450,9.7315,1
14:02.0,4670,logger,31,INFO,21640,9.8473,1
14:02.0,4671,logger,31,INFO,21697,9.882,1
